City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Beaverlodge,CA,55.2166,-119.4361,25.95,81,74,2.26,broken clouds
296,Birin,NP,26.8865,88.0718,36.64,78,6,3.49,clear sky
297,Harper,LR,4.375,-7.7169,79.02,81,28,6.44,scattered clouds
298,Ulladulla,AU,-35.35,150.4667,84.87,57,1,10.92,clear sky
299,Kasimov,RU,54.9411,41.3953,2.77,97,99,6.4,overcast clouds
300,Salinopolis,BR,-0.6136,-47.3561,74.44,95,100,12.75,overcast clouds
301,Kattivakkam,IN,13.2167,80.3167,79.07,81,56,12.95,broken clouds
302,Caucaia,BR,-3.7361,-38.6531,81.07,77,40,2.3,scattered clouds
303,Axim,GH,4.8699,-2.2405,78.75,86,20,5.44,few clouds
304,Mukono,UG,0.3533,32.7553,67.23,76,84,1.48,broken clouds
305,Helong,CN,42.5397,128.9972,8.53,79,12,5.84,few clouds
306,Tuatapere,NZ,-46.1333,167.6833,66.81,41,78,4.72,broken clouds
307,Batsfjord,NO,70.6345,29.7185,24.73,89,100,5.17,light snow
308,Coquimbo,CL,-29.9533,-71.3436,63.23,80,28,7.92,scattered clouds
309,Bathsheba,BB,13.2167,-59.5167,74.01,83,20,6.91,few clouds
310,Ivankiv,UA,50.9386,29.8943,34.03,97,100,13.47,snow
311,Cabedelo,BR,-6.9811,-34.8339,77.67,80,70,7.92,broken clouds
312,Rognan,NO,67.0953,15.3878,32.14,86,100,12.35,snow
313,Jiaozuo,CN,35.2397,113.2331,31.53,90,91,2.68,overcast clouds
314,Vostok,RU,46.4856,135.8833,-1.34,95,100,4.29,overcast clouds
315,Srostki,RU,52.4189,85.7022,2.46,97,100,3.74,overcast clouds
316,Mitsamiouli,KM,-11.3847,43.2844,79.27,76,35,2.35,scattered clouds
317,Krasnovishersk,RU,60.4078,57.082,4.89,96,100,4.97,overcast clouds
318,Buchanan,LR,5.8808,-10.0467,76.96,79,84,6.2,light rain
319,Portland,US,45.5234,-122.6762,51.57,59,0,1.01,clear sky
320,Yei,SS,4.095,30.6779,71.22,37,57,0.65,broken clouds
321,Lavrentiya,RU,65.5833,-171.0,-10.93,88,44,3.11,scattered clouds
322,Kuching,MY,1.55,110.3333,77.22,94,20,2.3,mist
323,Aliquippa,US,40.6367,-80.2401,33.73,64,100,4.0,light snow
324,Whitianga,NZ,-36.8333,175.7,67.87,53,7,11.01,clear sky
325,Tonder,DK,54.9331,8.8667,42.84,80,34,8.01,scattered clouds
326,Nkan,GA,0.3833,9.7833,75.67,92,95,1.41,overcast clouds
327,Casino,AU,-28.8667,153.05,80.35,69,80,6.91,broken clouds
328,Dalvik,IS,65.9702,-18.5286,33.73,86,100,11.34,light snow
329,Xuddur,SO,4.1213,43.8894,70.47,44,81,10.78,broken clouds
330,Zunyi,CN,27.6867,106.9072,34.84,94,100,3.2,light snow
331,Palmer,US,42.1584,-72.3287,22.42,56,75,1.99,broken clouds
332,Tomatlan,MX,19.9333,-105.25,79.74,51,82,8.01,broken clouds
333,Esso,RU,55.9333,158.7,23.47,95,100,2.75,light snow
334,Covington,US,39.0837,-84.5086,36.84,66,100,8.05,overcast clouds
335,Giddalur,IN,15.35,78.9167,62.51,53,28,5.17,scattered clouds
336,Shingu,JP,33.7333,135.9833,47.39,60,80,4.88,broken clouds
337,Victoria,HK,22.2855,114.1577,68.18,93,80,8.99,broken clouds
338,Hailey,US,43.5196,-114.3153,22.86,58,0,4.61,clear sky
339,Biak,ID,-0.9131,122.8766,78.35,82,100,1.07,overcast clouds
340,Tongchuan,CN,35.0806,109.0897,28.69,78,100,3.67,light snow
341,Asau,RO,46.4333,26.4,34.72,89,91,7.94,overcast clouds
342,Bonito,BR,-21.1211,-56.4819,73.47,88,100,2.33,overcast clouds
343,Dhidhdhoo,MV,6.8833,73.1,78.98,65,30,8.41,scattered clouds
344,Bilma,NE,18.6853,12.9164,56.46,26,2,9.42,clear sky
345,Santiago,CL,-33.4569,-70.6483,73.17,50,0,11.5,clear sky
346,Dharchula,IN,29.85,80.5333,36.19,47,0,8.57,clear sky
347,Katobu,ID,-4.9408,122.5276,84.02,70,100,6.6,overcast clouds
348,Kirensk,RU,57.7853,108.1119,-19.53,100,97,1.34,overcast clouds
349,Horadiz,AZ,39.4488,47.3353,34.57,85,99,2.06,overcast clouds
350,Kalanwali,IN,29.85,74.95,44.46,60,0,3.62,clear sky
