City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Noumea,NC,2022-01-24 04:02:57,-22.2763,166.4572,82.99,99,47,7.05
139,Haines Junction,CA,2022-01-24 04:02:57,60.7522,-137.5108,12.78,99,95,2.24
140,Surt,LY,2022-01-24 04:02:58,31.2089,16.5887,53.06,70,100,2.82
141,Gat,IL,2022-01-24 04:02:58,31.61,34.7642,49.41,100,63,12.95
142,Jamestown,US,2022-01-24 04:02:58,42.097,-79.2353,14.72,92,100,0.0
143,Jalu,LY,2022-01-24 04:02:59,29.0331,21.5482,47.08,67,34,1.05
144,Yeppoon,AU,2022-01-24 04:02:59,-23.1333,150.7333,89.38,58,88,12.39
145,Boyolangu,ID,2022-01-24 04:03:00,-8.1181,111.8935,87.37,56,80,7.11
146,Sokol,RU,2022-01-24 04:03:01,59.4617,40.1206,7.14,95,71,7.05
147,Kapaa,US,2022-01-24 04:03:01,22.0752,-159.319,78.78,77,75,8.05
148,Chuy,UY,2022-01-24 04:03:02,-33.6971,-53.4616,72.45,95,94,4.27
149,Arraial Do Cabo,BR,2022-01-24 04:01:31,-22.9661,-42.0278,75.04,88,9,20.47
150,Provideniya,RU,2022-01-24 04:03:02,64.3833,-173.3,19.51,86,100,17.9
151,Esmeralda,CU,2022-01-24 04:03:03,21.8525,-78.1169,70.84,91,29,5.21
152,Yagodnoye,RU,2022-01-24 04:03:04,62.55,149.6667,-15.16,99,100,2.77
153,Leh,IN,2022-01-24 04:03:04,34.1667,77.5833,9.07,93,100,1.14
154,Khandbari,NP,2022-01-24 04:03:04,27.3747,87.2039,56.26,47,5,2.66
155,Itaituba,BR,2022-01-24 04:02:21,-4.2761,-55.9836,73.0,99,100,0.56
156,Longonjo,AO,2022-01-24 04:03:05,-12.9067,15.2533,59.77,96,85,2.86
157,Vernon,CA,2022-01-24 04:02:54,50.2581,-119.2691,31.6,82,89,3.0
158,Coihaique,CL,2022-01-24 04:03:06,-45.5752,-72.0662,50.61,76,75,3.44
159,Ponta Delgada,PT,2022-01-24 04:03:06,37.7333,-25.6667,60.49,77,75,11.5
160,Champerico,GT,2022-01-24 04:03:07,14.3,-91.9167,80.35,70,0,2.44
161,Pringsewu,ID,2022-01-24 04:03:07,-5.3582,104.9744,88.45,59,74,1.92
162,Souillac,MU,2022-01-24 04:03:08,-20.5167,57.5167,84.36,74,11,8.01
163,Flin Flon,CA,2022-01-24 04:03:09,54.7682,-101.865,-13.43,88,6,8.75
164,Pacific Grove,US,2022-01-24 04:03:09,36.6177,-121.9166,55.81,59,0,4.61
165,Bengkulu,ID,2022-01-24 04:03:10,-3.8004,102.2655,82.83,72,84,11.95
166,Cape Town,ZA,2022-01-24 04:03:10,-33.9258,18.4232,69.89,87,75,1.99
167,Skeldon,GY,2022-01-24 04:03:11,5.8833,-57.1333,73.27,88,46,4.76
168,Touros,BR,2022-01-24 04:03:11,-5.1989,-35.4608,77.9,77,13,8.57
169,Chokurdakh,RU,2022-01-24 04:03:12,70.6333,147.9167,-20.69,100,98,5.86
170,Half Moon Bay,US,2022-01-24 04:03:12,37.4636,-122.4286,57.34,63,0,9.22
171,Prince Rupert,CA,2022-01-24 03:59:50,54.3161,-130.3201,42.49,97,100,0.0
172,Murgab,TM,2022-01-24 04:03:13,37.4966,61.9714,36.88,48,0,10.98
173,Bahia Honda,CU,2022-01-24 04:03:13,22.9036,-83.1592,64.99,72,0,9.53
174,Fernie,CA,2022-01-24 04:00:40,49.5,-115.0687,23.36,95,100,2.37
175,Bergen,NO,2022-01-24 04:03:14,60.392,5.328,46.15,93,75,16.11
176,Victoria,HK,2022-01-24 04:01:32,22.2855,114.1577,74.03,88,99,1.99
177,Mahebourg,MU,2022-01-24 04:03:15,-20.4081,57.7,84.25,73,7,9.57
178,Qasigiannguit,GL,2022-01-24 04:04:15,68.8193,-51.1922,16.05,67,100,10.65
179,San Quintin,MX,2022-01-24 04:02:37,30.4833,-115.95,59.67,58,0,4.34
180,Nadym,RU,2022-01-24 04:04:16,65.5333,72.5167,-2.33,100,78,9.89
181,Avera,US,2022-01-24 04:04:16,33.194,-82.5271,44.47,70,47,8.14
182,Lixourion,GR,2022-01-24 04:04:17,38.2019,20.4314,40.8,58,7,10.04
183,Katobu,ID,2022-01-24 04:04:17,-4.9408,122.5276,88.12,56,100,8.5
184,Jaque,PA,2022-01-24 04:04:18,7.5175,-78.1703,76.57,87,100,6.2
185,Tchibanga,GA,2022-01-24 04:04:18,-2.85,11.0333,70.09,99,82,0.47
186,Knysna,ZA,2022-01-24 04:04:19,-34.0363,23.0471,68.38,92,9,7.72
187,Te Anau,NZ,2022-01-24 04:04:19,-45.4167,167.7167,70.48,45,14,3.13
188,Caravelas,BR,2022-01-24 04:04:20,-17.7125,-39.2481,74.5,87,16,4.16
189,Tuatapere,NZ,2022-01-24 04:04:20,-46.1333,167.6833,60.31,57,9,9.55
190,Torbay,CA,2022-01-24 04:03:20,47.6666,-52.7314,25.75,89,61,1.01
191,Airai,TL,2022-01-24 04:04:21,-8.9266,125.4092,74.86,61,96,4.45
192,Dhidhdhoo,MV,2022-01-24 04:03:15,6.8833,73.1,81.27,58,99,11.07
193,Saint George,US,2022-01-24 04:04:21,37.1041,-113.5841,46.94,45,0,1.99
194,Lively,CA,2022-01-24 04:02:10,46.4334,-81.1498,-15.63,98,56,2.26
195,Novyy Urgal,RU,2022-01-24 04:04:22,51.0736,132.5642,-8.79,90,92,1.01
196,Katsuura,JP,2022-01-24 04:04:22,35.1333,140.3,48.31,56,100,20.83
197,Talnakh,RU,2022-01-24 04:04:23,69.4865,88.3972,-4.38,98,100,7.02
198,Aklavik,CA,2022-01-24 04:04:23,68.2191,-135.0107,5.16,95,80,9.35
199,Hamilton,US,2022-01-24 04:00:25,39.1834,-84.5333,23.88,72,60,1.01
200,Beringovskiy,RU,2022-01-24 04:04:24,63.05,179.3167,-21.73,97,39,6.24
201,Mabaruma,GY,2022-01-24 04:04:24,8.2,-59.7833,71.08,93,1,2.44
202,Mar Del Plata,AR,2022-01-24 04:04:25,-38.0023,-57.5575,71.87,72,19,5.01
203,Sao Filipe,CV,2022-01-24 04:04:25,14.8961,-24.4956,74.16,71,100,17.05
204,Prado,BR,2022-01-24 04:04:26,-17.3411,-39.2208,74.35,88,33,5.14
205,Brownsville,US,2022-01-24 04:04:26,25.9018,-97.4975,60.98,94,100,3.0
206,Viedma,AR,2022-01-24 04:04:27,-40.8135,-62.9967,71.74,39,8,10.49
207,Waterloo,CA,2022-01-24 04:04:04,43.4668,-80.5164,4.24,94,7,3.94
208,Christchurch,NZ,2022-01-24 04:04:11,-43.5333,172.6333,65.03,83,100,1.01
209,Asau,RO,2022-01-24 04:04:27,46.4333,26.4,20.75,89,96,7.49
210,Thinadhoo,MV,2022-01-24 04:04:28,0.5333,72.9333,81.63,71,35,13.27
211,Fortuna,US,2022-01-24 04:04:28,40.5982,-124.1573,47.98,84,0,3.56
212,Bom Jesus,BR,2022-01-24 04:04:29,-9.0744,-44.3586,71.47,84,30,2.66
213,Tilichiki,RU,2022-01-24 04:04:29,60.4667,166.1,-13.09,89,99,6.93
214,College,US,2022-01-24 04:02:49,64.8569,-147.8028,26.26,87,75,0.0
215,Yoichi,JP,2022-01-24 04:02:02,43.2039,140.7703,31.77,80,100,9.86
216,Necochea,AR,2022-01-24 04:04:30,-38.5473,-58.7368,63.03,58,0,10.98
217,Dingle,PH,2022-01-24 04:04:30,10.9995,122.6711,83.05,75,77,10.89
218,Manggar,ID,2022-01-24 04:04:31,-2.8833,108.2667,86.95,56,60,7.07
219,Kavaratti,IN,2022-01-24 04:04:31,10.5669,72.642,79.39,69,28,13.49
220,Fallon,US,2022-01-24 04:03:50,39.4735,-118.7774,35.28,61,0,3.44
221,Maniitsoq,GL,2022-01-24 04:04:32,65.4167,-52.9,21.04,73,100,21.65
222,Arlit,NE,2022-01-24 04:04:32,18.7369,7.3853,55.8,25,0,5.88
223,Tourlaville,FR,2022-01-24 04:04:33,49.6383,-1.5664,37.99,93,100,9.22
224,Santa Cruz,BO,2022-01-24 04:04:33,-17.8,-63.1667,74.66,94,20,6.91
225,Tosya,TR,2022-01-24 04:05:34,41.0155,34.0401,17.56,92,100,2.89
226,Bonfim,BR,2022-01-24 04:05:34,3.0833,-59.95,80.29,62,90,7.52
227,Deputatskiy,RU,2022-01-24 04:05:35,69.3,139.9,-22.0,98,100,5.1
228,Vila Franca Do Campo,PT,2022-01-24 04:05:35,37.7167,-25.4333,60.19,72,6,5.48
229,Vestmannaeyjar,IS,2022-01-24 04:05:36,63.4427,-20.2734,37.08,62,100,25.86
230,Coro,VE,2022-01-24 04:05:36,11.4045,-69.6734,74.1,84,25,13.85
231,Ancud,CL,2022-01-24 04:05:37,-41.8697,-73.8203,55.42,87,87,5.28
232,Snezhnogorsk,RU,2022-01-24 04:05:37,69.1933,33.2531,40.78,88,100,30.67
233,Jerome,US,2022-01-24 04:05:38,42.7241,-114.5186,27.95,82,100,3.44
234,Mwinilunga,ZM,2022-01-24 04:05:38,-11.7358,24.4293,57.09,98,36,3.78
235,Belmonte,BR,2022-01-24 04:05:39,-15.8631,-38.8828,75.7,81,78,4.16
236,Khani,GE,2022-01-24 04:05:39,41.9563,42.9566,36.97,79,75,6.11
237,Vao,NC,2022-01-24 04:05:40,-22.6667,167.4833,77.11,66,1,7.29
238,Sambava,MG,2022-01-24 04:05:40,-14.2667,50.1667,75.51,91,100,3.47
239,Lata,PT,2022-01-24 04:05:40,40.1629,-8.3327,47.8,84,0,3.87
240,Carmelo,UY,2022-01-24 04:05:41,-33.9892,-58.2856,76.95,80,100,6.69
241,Maceio,BR,2022-01-24 04:05:41,-9.6658,-35.7353,76.44,88,0,1.14
242,Changtu,CN,2022-01-24 04:05:42,42.7788,124.0955,21.76,29,100,5.84
243,Makinsk,KZ,2022-01-24 04:05:42,52.6292,70.4169,-8.77,99,89,3.44
244,Kosh-Agach,RU,2022-01-24 04:05:43,50.0,88.6667,-18.62,96,96,0.85
245,Batagay-Alyta,RU,2022-01-24 04:05:43,67.8006,130.4114,-10.93,93,100,0.69
246,Sembakung,ID,2022-01-24 04:05:44,3.8167,117.25,87.73,66,79,0.31
247,Bambous Virieux,MU,2022-01-24 04:05:44,-20.3428,57.7575,84.22,73,6,10.13
248,Qunduz,AF,2022-01-24 04:05:44,36.729,68.857,38.88,64,0,1.52
249,Balkhash,KZ,2022-01-24 04:05:45,46.844,74.9804,9.21,92,100,11.18
250,Kasangulu,CD,2022-01-24 04:05:45,-4.5911,15.1708,70.36,88,52,2.86
251,Bisert,RU,2022-01-24 04:05:46,56.8617,59.0523,14.29,94,100,2.71
252,Bedesa,ET,2022-01-24 04:05:46,8.9,40.7833,58.57,48,92,1.48
253,Santa Fe,AR,2022-01-24 04:02:50,-31.6333,-60.7,75.02,88,97,1.01
254,Belaya Gora,RU,2022-01-24 04:05:47,68.5333,146.4167,-28.1,100,100,4.68
255,Taitung,TW,2022-01-24 04:01:52,22.7583,121.1444,77.27,73,75,4.61
256,Jingdezhen,CN,2022-01-24 04:05:48,29.2947,117.2079,46.63,91,100,2.62
257,Macamic,CA,2022-01-24 04:05:48,48.7502,-78.9996,-16.78,100,99,4.07
258,Abu Dhabi,AE,2022-01-24 04:04:48,24.4667,54.3667,65.97,61,20,3.44
259,Vanimo,PG,2022-01-24 04:05:49,-2.6741,141.3028,82.92,77,99,5.32
260,Plettenberg Bay,ZA,2022-01-24 04:05:49,-34.0527,23.3716,69.35,81,2,9.69
261,Honningsvag,NO,2022-01-24 04:05:50,70.9821,25.9704,38.73,84,100,32.12
262,Khakhea,BW,2022-01-24 04:05:50,-24.6895,23.494,61.79,59,0,7.56
263,Kieta,PG,2022-01-24 04:05:51,-6.2167,155.6333,86.54,68,100,7.76
264,Ponta Do Sol,PT,2022-01-24 04:05:51,32.6667,-17.1,64.71,77,76,5.91
265,Turukhansk,RU,2022-01-24 04:05:52,65.8167,87.9833,-11.65,100,97,2.28
266,Evensk,RU,2022-01-24 04:05:52,61.95,159.2333,-7.56,81,99,5.08
267,Bosaso,SO,2022-01-24 04:05:53,11.2842,49.1816,72.3,70,93,2.62
268,Weihai,CN,2022-01-24 04:05:53,37.5017,122.1136,35.49,63,100,10.02
269,Huangyan,CN,2022-01-24 04:06:54,28.6478,121.2594,53.98,80,100,5.53
270,Mount Pleasant,US,2022-01-24 04:06:54,32.7941,-79.8626,44.01,74,0,1.01
271,Neiafu,TO,2022-01-24 04:06:55,-18.65,-173.9833,82.04,76,50,12.24
272,Codrington,AU,2022-01-24 04:06:55,-38.2667,141.9667,92.52,25,100,9.57
273,Puerto Ayacucho,VE,2022-01-24 04:06:56,5.6639,-67.6236,76.28,78,80,1.23
274,Bastia,FR,2022-01-24 04:06:56,42.6667,9.3333,45.3,78,0,8.05
275,Williams Lake,CA,2022-01-24 04:06:57,52.1415,-122.1445,19.89,96,86,2.75
276,Mahanoro,MG,2022-01-24 04:06:57,-19.9,48.8,78.46,88,97,9.06
277,Tiznit,MA,2022-01-24 04:06:58,29.5833,-9.5,52.25,73,100,1.39
278,La Macarena,CO,2022-01-24 04:06:58,2.1837,-73.7849,79.81,64,96,2.08
279,Vestmanna,FO,2022-01-24 04:06:59,62.1564,-7.1664,40.12,70,40,25.32
