City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
396,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
402,Barmer,IN,53.4,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
403,Ratnagiri,IN,71.65,clear sky,16.9833,73.3,Hotel Landmark
404,Bikaner,IN,54.03,clear sky,28.0167,73.3,Karina Guest House
407,Enugu,NG,72.48,clear sky,6.4402,7.4943,Bestchoice Hotel & Suites Enugu
408,Inhambane,MZ,75.79,broken clouds,-23.865,35.3833,Oceano
411,Gambela,ET,77.47,broken clouds,8.25,34.5833,Solomon Debebe Hotel
413,Kudligi,IN,63.75,clear sky,14.9,76.3833,Santosh j home
415,Christchurch,NZ,66.33,few clouds,-43.5333,172.6333,The George
416,Huambo,AO,59.0,light rain,-12.7761,15.7392,SiSHotel
417,Darnah,LY,55.24,broken clouds,32.767,22.6367,فندق الفردوس
421,Salinas,US,70.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
426,Chicama,PE,68.54,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
427,Iringa,TZ,59.83,light rain,-7.7667,35.7,M.R. Hotels ltd.
429,Cidreira,BR,71.85,broken clouds,-30.1811,-50.2056,Hotel Castelo
439,Kita,ML,74.8,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
440,Yanam,IN,70.36,overcast clouds,16.7333,82.2167,The Regency Hotel
444,Bedele,ET,57.52,overcast clouds,8.456,36.353,Central Hotel
447,Trinidad,BO,76.91,broken clouds,-14.8333,-64.9,Hotel Piesta
451,Lisala,CD,69.49,overcast clouds,2.15,21.5167,Flat hôtel tozelaka
457,Ginir,ET,56.41,broken clouds,7.1333,40.7,Sura Dare Village
458,Caapucu,PY,76.95,overcast clouds,-26.2167,-57.2,Porton Estancia Santa Clara
459,Tlapacoyan,MX,63.03,overcast clouds,19.9667,-97.2167,Hotel San Diego
460,Pietersburg,ZA,65.25,overcast clouds,-23.9045,29.4688,Bed and Breakfast @ Reggies B&B
462,Hambantota,LK,66.54,clear sky,6.1241,81.1185,Bungalow 63
466,Goianesia,BR,67.37,clear sky,-15.3175,-49.1175,Kamur Plaza Hotel - Goianésia
467,Maunabo,PR,76.84,clear sky,18.0072,-65.8993,Maunacaribe
468,Mmabatho,ZA,69.76,overcast clouds,-25.85,25.6333,Mahikeng Guest Apartments
469,Tias,ES,55.15,few clouds,28.9611,-13.645,Hotel Beatriz Playa & SPA
470,Chilca,PE,71.76,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
479,Caraballeda,VE,74.64,few clouds,10.6112,-66.8522,Hotel 15 Letras
